origin_city,pct_same_day,pct_4hr,shipments_per_day,avg_distance_km,cur_delivery_time_hr,cur_cost_aed,delay_rate_pct,delay_churn_pct
al ain,47.4,83.6,36,10.0,0.3,5.15,10.7,5.2
abu dhabi,21.7,21.4,74,113.1,3.4,55.49,30.0,9.3
sharjah,6.3,60.0,132,23.1,0.5,10.74,41.4,17.5
ajman,0.4,79.8,24,89.4,2.8,43.35,1.8,1.1
dubai,32.5,31.9,71,25.0,0.6,9.78,32.8,16.0
ajman,59.0,35.4,174,14.6,0.3,7.7,53.2,34.1
ajman,45.5,62.9,88,82.4,2.3,32.82,7.6,2.5
ras al khaimah,30.2,14.7,102,131.6,4.1,51.33,18.8,10.9
al ain,99.1,11.8,136,56.6,1.9,21.8,59.2,19.2
ajman,94.0,25.0,65,138.3,4.8,73.09,19.7,7.1
sharjah,12.6,74.1,165,6.5,0.2,2.88,1.7,1.1
sharjah,41.5,36.7,4,72.5,2.1,33.06,41.0,12.6
sharjah,64.9,50.7,95,26.3,0.7,11.26,59.0,26.7
ras al khaimah,73.3,19.5,119,50.8,1.4,18.54,13.8,9.3
abu dhabi,36.6,19.4,48,8.4,0.2,3.12,13.0,4.7
abu dhabi,74.6,65.0,156,10.1,0.3,3.66,25.9,17.6
sharjah,12.4,10.8,16,108.4,3.7,49.54,32.2,12.2
dubai,33.2,66.8,130,99.9,2.2,39.44,48.9,20.0
dubai,71.6,40.1,127,35.2,0.9,15.22,59.6,33.1
dubai,62.6,67.1,157,135.7,2.9,60.1,48.8,14.8
ras al khaimah,83.7,38.2,42,104.8,2.7,47.77,17.5,10.2
ras al khaimah,4.7,84.6,31,53.7,1.5,27.96,47.2,31.2
ras al khaimah,17.4,5.6,116,64.1,1.6,23.57,37.9,16.8
sharjah,4.8,89.3,194,47.4,1.3,21.28,29.5,16.0
ras al khaimah,19.2,26.9,157,125.4,4.0,48.12,38.1,16.9
dubai,0.4,4.3,43,76.6,1.8,40.35,26.4,15.2
al ain,50.4,56.2,82,24.6,0.8,12.92,37.9,19.4
ajman,52.8,22.4,54,34.2,1.1,13.17,44.2,22.1
al ain,65.8,45.9,156,48.0,1.4,18.29,0.8,0.3
dubai,38.5,80.2,102,63.5,1.6,24.12,37.0,20.9
sharjah,0.3,79.2,88,90.9,3.1,34.33,9.2,4.6
ras al khaimah,67.4,60.0,2,144.8,3.7,56.25,20.2,8.7
sharjah,5.4,97.8,127,43.0,0.9,16.69,26.6,13.1
sharjah,86.6,46.4,89,52.6,1.2,20.48,58.3,25.2
dubai,2.3,3.9,8,8.5,0.3,3.29,19.5,8.0
sharjah,53.0,81.9,39,59.0,1.3,25.25,49.2,17.1
abu dhabi,89.5,22.1,145,102.9,2.7,41.75,20.2,7.8
abu dhabi,57.2,17.6,150,144.6,4.4,62.91,13.8,4.9
ras al khaimah,60.8,7.0,99,112.3,3.2,58.49,26.0,7.9
ajman,68.2,32.8,151,22.1,0.7,9.36,5.4,3.2
ajman,12.2,32.6,147,134.1,3.4,55.19,49.2,16.6
sharjah,67.5,30.3,123,126.6,3.8,66.41,29.9,13.7
al ain,88.0,59.3,42,32.4,0.7,13.54,41.3,23.1
dubai,97.4,75.2,84,140.5,3.4,53.67,47.9,27.9
sharjah,44.3,93.8,163,108.5,2.4,51.15,24.5,8.1
dubai,34.5,9.4,62,118.5,3.2,48.67,27.0,17.6
sharjah,75.3,15.0,132,71.6,1.6,32.48,15.2,5.1
al ain,54.3,59.0,165,34.1,1.0,16.99,42.9,21.7
sharjah,25.7,9.8,107,120.9,2.7,55.83,49.9,31.4
al ain,17.2,37.1,101,74.2,1.9,37.51,34.4,16.6
sharjah,17.0,62.5,38,145.3,3.1,61.32,2.3,1.6
ras al khaimah,45.9,78.1,99,27.2,0.7,10.62,42.7,24.9
sharjah,17.0,21.8,9,56.5,1.8,24.35,40.0,17.4
abu dhabi,2.0,66.8,23,111.7,2.8,48.49,20.6,6.8
ras al khaimah,5.2,64.6,108,88.0,2.7,43.02,24.6,15.5
al ain,93.0,86.0,44,67.8,1.8,32.79,29.7,19.3
abu dhabi,7.3,31.4,70,106.7,2.5,44.35,47.4,26.2
ras al khaimah,7.3,75.0,72,111.3,2.7,58.69,40.8,17.6
abu dhabi,45.1,75.2,95,88.7,2.2,36.33,31.0,16.3
ras al khaimah,24.5,23.9,140,51.3,1.6,27.67,48.3,14.5
ras al khaimah,96.3,62.1,89,94.7,2.2,34.65,51.5,24.0
sharjah,91.1,67.5,169,84.1,2.9,40.48,3.1,2.2
ras al khaimah,40.5,27.4,96,120.7,3.7,56.93,4.2,1.6
abu dhabi,44.9,45.2,198,99.8,2.6,46.44,28.5,16.3
dubai,37.5,43.6,199,77.0,2.7,38.52,46.9,16.0
dubai,3.8,77.4,86,7.7,0.2,3.59,6.6,3.9
sharjah,29.3,0.1,153,29.2,0.9,13.72,51.8,24.7
al ain,12.3,50.1,91,53.8,1.3,27.86,8.2,3.6
dubai,10.2,18.4,175,92.2,2.6,36.29,41.7,20.9
sharjah,56.1,64.7,153,119.9,2.5,54.63,48.2,30.2
ras al khaimah,9.9,68.0,68,144.2,4.7,70.4,2.7,1.7
abu dhabi,10.3,50.1,64,92.0,2.3,38.22,50.9,22.5
ras al khaimah,48.1,54.2,176,110.7,3.2,44.23,50.5,27.9
abu dhabi,44.2,31.5,108,95.1,3.2,36.44,8.8,3.8
ras al khaimah,13.8,31.3,139,67.4,1.4,27.45,12.5,6.0
ajman,0.4,74.5,135,93.4,3.2,44.82,51.6,29.0
ajman,19.3,13.2,34,63.1,1.8,29.7,57.9,23.3
abu dhabi,23.6,77.2,48,70.8,2.2,27.68,29.1,12.5
sharjah,80.0,65.5,180,137.1,3.7,61.48,7.5,2.7
al ain,91.5,88.4,56,86.8,2.8,34.59,16.8,9.1
dubai,40.6,26.0,173,19.6,0.7,10.36,20.3,13.0
ras al khaimah,40.5,50.6,71,80.9,2.1,39.67,37.9,25.3
sharjah,71.2,3.9,169,143.2,4.4,56.02,43.3,29.3
ras al khaimah,62.7,91.3,115,19.5,0.7,8.04,36.4,22.3
ajman,18.4,67.5,20,145.8,4.6,74.88,53.4,26.1
sharjah,10.8,62.3,54,148.2,5.1,68.21,0.6,0.4
abu dhabi,43.8,73.3,190,86.3,2.7,36.6,23.4,9.4
ajman,56.5,28.4,42,53.2,1.3,24.88,17.5,8.8
dubai,13.9,60.4,46,6.3,0.2,2.71,45.1,30.1
ajman,29.3,80.1,30,7.2,0.2,3.77,40.9,21.7
dubai,30.6,9.0,122,61.3,1.3,31.71,53.5,29.1
ajman,26.1,95.9,162,118.5,2.7,46.08,18.8,10.3
ajman,46.1,89.2,187,141.6,3.4,68.24,51.3,31.9
dubai,65.3,96.3,177,27.4,0.9,13.99,32.3,10.8
ras al khaimah,50.9,80.8,176,75.7,2.4,30.13,9.2,4.1
sharjah,20.1,29.4,181,77.8,2.5,40.21,49.7,33.5
ras al khaimah,10.3,58.2,113,60.1,1.3,26.17,14.0,9.6
dubai,82.2,12.0,164,83.3,1.8,34.6,45.6,23.9
abu dhabi,47.9,75.4,127,139.1,3.4,74.71,32.2,13.5
sharjah,6.2,15.4,28,68.6,2.1,33.19,30.9,19.8
abu dhabi,25.8,86.7,5,25.0,0.8,10.31,32.1,21.1
abu dhabi,80.4,24.1,20,101.5,3.4,46.22,58.5,24.5
ajman,75.2,16.0,69,9.5,0.2,4.52,35.1,20.8
dubai,87.6,7.1,100,141.3,4.5,68.98,2.7,1.8
ras al khaimah,60.2,71.1,128,141.3,4.2,56.19,57.4,27.1
dubai,42.3,18.6,104,18.4,0.6,8.67,16.9,5.6
abu dhabi,42.7,19.8,73,84.9,2.7,43.51,28.2,17.9
ajman,19.4,17.0,146,120.6,3.4,60.86,49.4,28.1
ras al khaimah,65.1,30.6,172,72.4,2.3,29.9,5.1,3.1
abu dhabi,58.5,94.1,45,74.4,1.8,39.78,14.0,7.9
abu dhabi,15.5,48.7,53,145.7,4.6,52.78,52.6,24.6
al ain,88.6,26.1,186,38.4,1.2,19.21,7.0,4.8
al ain,36.8,17.0,194,81.3,2.7,33.91,31.0,17.0
ajman,5.0,1.9,62,21.7,0.5,11.49,11.2,5.7
sharjah,32.8,36.5,102,48.9,1.6,25.18,21.2,11.1
sharjah,87.0,11.0,115,128.4,2.9,66.59,47.4,28.7
ajman,91.7,2.7,127,108.9,3.4,44.14,57.5,31.3
ajman,49.0,10.3,172,93.7,3.2,47.16,34.4,11.3
abu dhabi,95.6,31.9,22,21.5,0.4,9.03,21.7,8.9
dubai,87.5,75.1,105,128.4,3.8,56.56,4.8,2.4
dubai,82.5,6.7,44,48.2,1.4,25.2,24.1,8.8
al ain,86.0,67.9,150,82.6,2.7,40.45,48.8,31.3
sharjah,38.2,62.1,119,38.9,0.8,18.49,45.4,27.7
sharjah,75.6,88.2,150,80.5,2.7,30.85,21.4,12.9
sharjah,57.7,18.4,181,86.5,3.0,39.52,10.2,5.0
ras al khaimah,72.0,79.4,158,54.4,1.6,20.79,32.6,13.6
dubai,17.8,86.5,170,78.4,2.1,29.28,49.9,31.7
dubai,73.1,97.6,162,63.9,1.9,33.89,33.7,14.9
abu dhabi,95.8,80.9,125,106.1,2.2,49.51,32.5,17.0
sharjah,30.3,12.4,79,83.9,2.6,30.3,42.4,17.7
ras al khaimah,98.6,94.7,67,132.3,2.8,58.8,7.8,5.4
sharjah,37.8,81.5,73,12.2,0.3,5.02,37.1,21.6
sharjah,20.0,21.2,121,8.9,0.2,3.45,4.7,3.2
al ain,11.2,16.5,160,32.3,1.0,16.39,9.6,6.6
dubai,78.5,93.6,74,22.2,0.6,8.61,3.1,1.2
ajman,55.5,15.6,116,81.3,2.5,31.7,36.9,21.9
ajman,30.7,77.7,83,34.0,0.7,13.66,57.9,28.2
sharjah,60.8,40.5,121,7.3,0.2,3.56,8.9,4.9
ras al khaimah,33.2,72.4,163,46.0,1.2,18.14,28.2,13.7
abu dhabi,44.8,9.2,82,78.8,2.3,32.93,53.6,17.3
al ain,86.3,72.5,79,108.6,2.3,56.74,51.0,29.2
abu dhabi,66.8,51.2,41,68.6,2.0,31.67,25.4,12.6
ajman,76.2,90.0,100,144.6,3.7,56.56,44.7,15.8
ajman,58.3,18.8,91,33.9,1.1,17.45,2.6,1.5
al ain,99.1,10.9,32,79.5,2.1,35.95,45.4,16.5
sharjah,24.1,19.6,193,41.7,0.9,21.27,43.5,28.3
abu dhabi,26.2,7.9,172,122.0,2.6,45.65,35.0,10.8
dubai,9.3,98.0,58,32.2,0.8,12.53,6.9,3.2
sharjah,55.4,12.3,188,144.4,3.4,54.37,17.8,7.8
ras al khaimah,61.3,20.1,55,108.9,3.5,48.64,10.3,6.7
dubai,72.6,81.0,84,85.7,2.6,36.83,3.5,2.1
al ain,33.5,24.7,27,82.2,1.7,35.75,54.0,21.9
ajman,1.2,22.2,122,57.6,1.9,24.54,10.9,4.7
dubai,63.2,67.2,96,8.0,0.2,3.49,12.4,6.9
abu dhabi,99.9,39.9,54,137.7,4.4,59.02,42.0,28.9
ajman,29.5,83.5,58,120.3,2.6,46.77,19.3,8.9
abu dhabi,18.4,63.8,187,24.6,0.6,11.38,24.3,15.4
dubai,28.2,28.8,137,22.7,0.7,11.72,3.4,2.0
ajman,42.5,59.8,31,49.7,1.2,26.79,55.6,32.4
ras al khaimah,25.1,86.6,27,115.7,2.5,44.1,59.8,23.7
dubai,34.7,36.4,14,78.0,2.5,33.85,22.1,6.9
abu dhabi,63.8,73.6,50,99.9,3.0,40.3,12.9,6.3
abu dhabi,34.5,41.6,147,5.9,0.2,2.73,42.3,23.0
ajman,39.6,54.3,13,138.9,4.1,59.01,45.5,22.3
ras al khaimah,4.0,73.4,50,29.0,0.6,15.02,9.2,4.2
ras al khaimah,91.8,6.1,9,51.2,1.5,27.05,29.2,12.1
al ain,40.7,45.5,130,142.3,4.6,59.55,11.7,7.5
ras al khaimah,32.8,9.5,163,111.3,2.4,47.21,14.0,5.2
abu dhabi,8.6,72.5,106,79.1,1.7,36.09,29.6,8.9
dubai,63.4,60.8,181,130.1,3.9,61.72,24.0,8.2
ajman,86.4,32.7,138,13.9,0.4,6.89,28.5,13.6
al ain,4.1,7.6,153,16.1,0.4,6.09,23.1,12.1
al ain,14.5,92.6,63,27.5,0.9,10.15,4.4,2.5
abu dhabi,14.6,31.5,173,43.4,1.0,20.92,4.6,2.4
abu dhabi,60.2,27.5,126,107.8,2.9,48.1,15.7,8.7
dubai,92.1,10.1,18,82.2,2.6,39.55,31.4,10.9
dubai,43.8,57.7,17,66.8,1.5,27.67,12.8,6.1
ajman,34.4,26.6,179,118.5,3.0,46.33,37.5,21.9
ajman,76.6,84.3,55,51.0,1.5,19.38,45.7,19.6
sharjah,74.3,68.3,93,17.4,0.4,8.73,53.5,21.6
abu dhabi,24.7,0.4,152,62.5,2.1,27.03,56.6,23.2
ras al khaimah,16.1,56.6,153,116.1,4.0,43.53,21.9,9.9
sharjah,35.8,23.2,6,73.7,2.2,29.81,56.6,17.1
ras al khaimah,77.6,1.5,123,146.7,4.7,75.56,52.5,34.7
al ain,69.5,61.9,182,129.1,4.3,57.67,18.9,7.2
abu dhabi,66.6,20.5,70,119.7,3.7,61.48,22.2,14.3
abu dhabi,82.9,90.0,108,117.1,3.7,62.08,10.1,3.3
al ain,27.7,57.3,53,89.3,1.9,33.22,52.1,21.4
ajman,34.0,20.9,144,135.7,4.4,71.89,31.8,16.5
abu dhabi,4.2,97.9,24,90.5,2.2,38.62,12.4,4.4
ajman,86.9,54.6,104,59.0,1.2,28.66,48.6,33.8
ajman,58.2,16.5,83,33.4,1.0,14.45,51.0,26.8
al ain,29.8,51.7,128,122.9,2.9,57.84,38.4,23.9
abu dhabi,6.9,95.9,99,58.8,1.2,28.26,23.7,9.7
al ain,72.3,42.4,196,119.7,3.5,45.96,13.2,5.0
al ain,74.9,42.5,196,147.5,3.2,64.55,46.0,29.4
abu dhabi,66.6,46.1,57,62.8,2.1,24.94,46.2,17.9
dubai,20.4,28.0,8,54.4,1.9,20.75,30.6,13.9
ajman,91.3,16.2,99,29.7,0.9,13.86,44.6,26.6
dubai,75.3,57.9,118,73.9,1.8,35.65,12.0,4.7
abu dhabi,65.8,89.4,150,99.8,2.8,40.55,31.8,17.9
sharjah,65.1,73.6,105,50.4,1.0,18.21,19.5,13.3
al ain,90.4,9.6,117,75.4,2.2,40.32,59.5,30.7
al ain,92.8,40.1,5,82.9,2.0,36.93,25.5,10.4
dubai,59.6,0.5,152,44.9,1.2,21.43,12.3,8.3
al ain,41.7,30.8,66,8.4,0.2,3.14,11.8,7.9
dubai,36.4,66.9,77,36.3,1.3,17.12,59.7,32.8
ras al khaimah,81.9,29.0,85,121.5,2.8,60.42,60.0,36.0
al ain,64.5,84.1,15,45.3,1.2,16.69,48.0,28.8
al ain,7.7,47.7,99,7.0,0.2,3.18,28.8,13.8
abu dhabi,14.2,66.9,76,66.6,1.9,25.68,39.9,16.2
al ain,90.0,88.4,47,104.0,3.5,40.19,42.1,13.8
dubai,88.4,68.3,49,114.1,2.6,53.7,7.8,2.5
ajman,95.2,89.7,7,65.0,1.4,30.65,8.6,2.8
sharjah,42.8,80.8,177,87.9,1.9,40.41,23.6,9.3
abu dhabi,78.4,56.7,59,113.1,3.3,51.1,22.5,7.8
dubai,82.8,29.7,175,133.9,3.9,59.53,28.1,9.0
ras al khaimah,31.6,29.8,167,97.8,3.2,43.68,18.2,9.7
sharjah,14.5,87.5,92,105.2,3.4,44.21,37.1,16.2
ajman,99.7,5.4,161,19.3,0.4,7.84,45.3,31.7
sharjah,3.0,94.1,43,66.0,2.2,26.92,52.3,29.7
sharjah,59.7,32.7,36,133.9,4.3,70.09,24.6,16.6
al ain,65.0,73.9,179,28.3,0.8,11.55,17.5,5.7
dubai,68.2,33.0,129,49.9,1.3,21.33,9.0,3.6
ras al khaimah,25.6,95.3,138,103.3,3.2,46.56,33.6,20.6
ras al khaimah,72.2,3.6,184,135.8,4.0,67.04,2.3,1.3
sharjah,21.6,35.3,3,13.6,0.3,6.8,51.4,22.9
abu dhabi,82.9,86.7,35,131.2,2.7,64.28,28.6,18.2
dubai,21.9,27.4,192,36.9,1.1,15.3,36.6,18.3
al ain,69.7,27.6,26,129.8,3.7,50.54,24.0,16.0
al ain,78.3,89.9,90,133.9,3.0,67.9,0.2,0.1
abu dhabi,18.9,83.1,5,117.4,3.9,60.74,47.3,25.3
dubai,23.8,10.6,65,139.0,3.1,72.88,28.4,12.0
dubai,77.9,58.0,35,144.4,3.5,74.29,24.4,8.1
dubai,8.6,22.3,51,139.2,3.6,59.17,45.5,13.9
ras al khaimah,19.1,21.5,162,79.4,2.4,30.78,20.8,8.6
al ain,45.6,61.5,55,72.2,1.5,34.7,38.8,24.8
dubai,93.0,12.4,162,20.3,0.6,9.68,43.5,18.9
